DateTime,SP500PERatio
01-05-1980,7.15
01-04-1980,6.79
01-03-1980,6.85
01-02-1980,7.61
01-01-1980,7.39
01-12-1979,7.25
01-11-1979,7.01
01-10-1979,7.11
01-09-1979,7.42
01-08-1979,7.45
01-07-1979,7.23
01-06-1979,7.27
01-05-1979,7.25
01-04-1979,7.55
01-03-1979,7.53
01-02-1979,7.57
01-01-1979,7.88
01-12-1978,7.79
01-11-1978,7.84
01-10-1978,8.51
01-09-1978,8.98
01-08-1978,9.07
01-07-1978,8.57
01-06-1978,8.7
01-05-1978,8.75
01-04-1978,8.41
01-03-1978,8.13
01-02-1978,8.16
01-01-1978,8.28
01-12-1977,8.62
01-11-1977,8.71
01-10-1977,8.7
01-09-1977,8.99
01-08-1977,9.21
01-07-1977,9.53
01-06-1977,9.53
01-05-1977,9.58
01-04-1977,9.72
01-03-1977,9.98
01-02-1977,10.08
01-01-1977,10.41
01-12-1976,10.57
01-11-1976,10.34
01-10-1976,10.54
01-09-1976,11.05
01-08-1976,10.93
01-07-1976,11.14
01-06-1976,11.01
01-05-1976,11.18
01-04-1976,11.51
01-03-1976,11.67
01-02-1976,11.94
01-01-1976,11.82
01-12-1975,11.14
01-11-1975,11.41
01-10-1975,11.32
01-09-1975,10.91
01-08-1975,10.95
01-07-1975,11.72
01-06-1975,11.61
01-05-1975,11.09
01-04-1975,10.22
01-03-1975,9.91
01-02-1975,9.32
01-01-1975,8.3
01-12-1974,7.54
01-11-1974,8
01-10-1974,7.68
01-09-1974,7.48
01-08-1974,8.46
01-07-1974,8.95
01-06-1974,10.27
01-05-1974,10.41
01-04-1974,10.89
01-03-1974,11.66
01-02-1974,11.27
01-01-1974,11.68
01-12-1973,11.62
01-11-1973,12.74
01-10-1973,13.99
01-09-1973,13.73
01-08-1973,13.77
01-07-1973,14.33
01-06-1973,14.5
01-05-1973,15.13
01-04-1973,15.89
01-03-1973,16.53
01-02-1973,17.11
01-01-1973,18.09
01-12-1972,18.3
01-11-1972,18.19
01-10-1972,17.58
01-09-1972,17.82
01-08-1972,18.25
01-07-1972,17.79
01-06-1972,18.09
01-05-1972,18.2
01-04-1972,18.56
01-03-1972,18.54
01-02-1972,18.22
01-01-1972,18.01
01-12-1971,17.4
01-11-1971,16.54
01-10-1971,17.62
01-09-1971,18.31
01-08-1971,18.03
01-07-1971,18.48
01-06-1971,18.74
01-05-1971,19.22
01-04-1971,19.61
01-03-1971,19.08
01-02-1971,18.71
01-01-1971,18.12
01-12-1970,17.55
01-11-1970,16.19
01-10-1970,15.97
01-09-1970,15.41
01-08-1970,14.39
01-07-1970,13.85
01-06-1970,13.69
01-05-1970,13.69
01-04-1970,15.37
01-03-1970,15.75
01-02-1970,15.35
