Date,Price,Open,High,Low,Vol.,Change %
01/11/2009,1095.63,1036.18,1113.69,1029.38,-,0.0574
01/10/2009,1036.19,1054.91,1101.36,1019.95,-,-0.0198
01/09/2009,1057.08,1019.52,1080.15,991.97,-,0.0357
01/08/2009,1020.62,990.22,1039.47,978.51,-,0.0336
01/07/2009,987.48,920.82,996.68,869.32,-,0.0741
01/06/2009,919.32,923.26,956.23,888.86,-,0.0002
01/05/2009,919.14,872.74,930.17,866.1,-,0.0531
01/04/2009,872.81,793.59,888.7,783.32,-,0.0939
01/03/2009,797.87,729.57,832.98,666.79,-,0.0854
01/02/2009,735.09,823.09,875.01,734.52,-,-0.1099
01/01/2009,825.88,902.99,943.85,804.3,-,-0.0857
01/12/2008,903.25,888.61,918.85,815.69,-,0.0078
01/11/2008,896.24,968.67,1007.51,741.02,-,-0.0748
01/10/2008,968.75,1164.17,1167.03,839.8,-,-0.1694
01/09/2008,1166.36,1287.83,1303.04,1106.39,-,-0.0908
01/08/2008,1282.83,1269.42,1313.15,1247.45,-,0.0122
01/07/2008,1267.38,1276.69,1292.17,1200.44,-,-0.0099
01/06/2008,1280,1399.62,1404.05,1272,-,-0.086
01/05/2008,1400.38,1385.97,1440.24,1373.07,-,0.0107
01/04/2008,1385.59,1326.41,1404.57,1324.35,-,0.0475
01/03/2008,1322.7,1330.45,1359.68,1256.98,-,-0.006
01/02/2008,1330.63,1378.6,1396.02,1316.75,-,-0.0348
01/01/2008,1378.55,1467.97,1471.77,1270.05,-,-0.0612
01/12/2007,1468.36,1479.63,1523.57,1435.65,-,-0.0086
01/11/2007,1481.14,1545.79,1545.79,1406.1,-,-0.044
01/10/2007,1549.38,1527.29,1576.09,1489.56,-,0.0148
01/09/2007,1526.75,1473.96,1538.74,1439.29,-,0.0358
01/08/2007,1473.99,1455.18,1503.89,1370.6,-,0.0129
01/07/2007,1455.27,1504.66,1555.9,1454.25,-,-0.032
01/06/2007,1503.35,1530.62,1540.56,1484.18,-,-0.0178
01/05/2007,1530.62,1482.37,1535.56,1476.7,-,0.0325
01/04/2007,1482.37,1420.83,1498.02,1416.37,-,0.0433
01/03/2007,1420.86,1406.8,1438.89,1363.98,-,0.01
01/02/2007,1406.82,1437.9,1461.57,1389.42,-,-0.0218
01/01/2007,1438.24,1418.03,1441.61,1403.97,-,0.0141
01/12/2006,1418.3,1400.63,1431.81,1385.93,-,0.0126
01/11/2006,1400.63,1377.76,1407.89,1360.98,-,0.0165
01/10/2006,1377.94,1335.82,1389.45,1327.1,-,0.0315
01/09/2006,1335.85,1303.8,1340.28,1290.93,-,0.0246
01/08/2006,1303.82,1278.53,1306.74,1261.3,-,0.0213
01/07/2006,1276.66,1270.06,1280.42,1224.54,-,0.0051
01/06/2006,1270.2,1270.05,1290.68,1219.29,-,0.0001
01/05/2006,1270.09,1310.61,1326.7,1245.34,-,-0.0309
01/04/2006,1310.61,1302.88,1318.16,1280.74,-,0.0122
01/03/2006,1294.83,1280.66,1310.88,1268.42,-,0.0111
01/02/2006,1280.66,1280.08,1297.57,1253.61,-,0.0005
01/01/2006,1280.08,1248.29,1294.9,1245.74,-,0.0255
01/12/2005,1248.29,1249.48,1275.8,1246.59,-,-0.001
01/11/2005,1249.48,1207.01,1270.64,1201.07,-,0.0352
01/10/2005,1207.01,1228.81,1233.34,1168.2,-,-0.0177
01/09/2005,1228.81,1220.33,1243.13,1205.35,-,0.0069
01/08/2005,1220.33,1234.18,1245.86,1201.07,-,-0.0112
01/07/2005,1234.18,1191.33,1245.15,1183.55,-,0.036
01/06/2005,1191.33,1191.5,1219.59,1188.3,-,-0.0001
01/05/2005,1191.5,1156.85,1199.56,1146.18,-,0.03
01/04/2005,1156.85,1180.59,1191.88,1136.15,-,-0.0201
01/03/2005,1180.59,1203.6,1229.11,1163.69,-,-0.0191
01/02/2005,1203.6,1181.27,1212.44,1180.95,-,0.0189
01/01/2005,1181.27,1211.92,1217.9,1163.75,-,-0.0253
01/12/2004,1211.92,1173.78,1217.33,1173.76,-,0.0325
01/11/2004,1173.82,1130.2,1188.46,1127.53,-,0.0386
01/10/2004,1130.2,1114.58,1142.05,1090.19,-,0.014
01/09/2004,1114.58,1104.24,1131.54,1099.11,-,0.0094
01/08/2004,1104.24,1101.72,1109.68,1060.72,-,0.0023
01/07/2004,1101.72,1140.84,1140.84,1078.78,-,-0.0343
01/06/2004,1140.84,1120.68,1146.34,1113.32,-,0.018
01/05/2004,1120.68,1107.3,1127.74,1076.32,-,0.0121
01/04/2004,1107.3,1126.21,1150.57,1107.23,-,-0.0168
01/03/2004,1126.21,1144.94,1163.23,1087.06,-,-0.0164
01/02/2004,1144.94,1131.13,1158.98,1124.44,-,0.0122
01/01/2004,1131.13,1111.92,1155.38,1105.08,-,0.0173
01/12/2003,1111.92,1058.2,1112.56,1053.41,-,0.0508
01/11/2003,1058.2,1050.71,1063.65,1031.2,-,0.0071
01/10/2003,1050.71,995.97,1053.79,995.97,-,0.055
01/09/2003,995.97,1008.01,1040.29,990.36,-,-0.0119
01/08/2003,1008.01,990.31,1011.01,960.84,-,0.0148
01/07/2003,993.32,974.5,1015.41,962.1,-,0.0193
01/06/2003,974.5,963.59,1015.33,963.59,-,0.0113
01/05/2003,963.59,916.92,965.38,902.83,-,0.0509
01/04/2003,916.92,848.18,924.24,847.85,-,0.081
01/03/2003,848.18,841.15,895.9,788.9,-,0.0084
01/02/2003,841.15,855.7,864.64,806.29,-,-0.017
01/01/2003,855.7,879.82,935.05,840.34,-,-0.0274
01/12/2002,879.82,936.31,954.28,869.45,-,-0.0603
01/11/2002,936.31,885.76,941.82,872.05,-,0.0571
01/10/2002,885.76,815.28,907.44,768.63,-,0.0864
01/09/2002,815.28,916.07,924.02,800.2,-,-0.11
01/08/2002,916.07,911.62,965,833.44,-,0.0049
01/07/2002,911.62,989.82,994.46,775.68,-,-0.079
01/06/2002,989.82,1067.14,1070.74,952.92,-,-0.0725
01/05/2002,1067.14,1076.92,1106.59,1048.96,-,-0.0091
01/04/2002,1076.92,1147.39,1147.84,1063.46,-,-0.0614
01/03/2002,1147.39,1106.73,1173.94,1106.73,-,0.0367
01/02/2002,1106.73,1130.2,1130.2,1074.36,-,-0.0208
01/01/2002,1130.2,1148.08,1176.97,1081.66,-,-0.0156
01/12/2001,1148.08,1139.45,1173.62,1114.53,-,0.0076
01/11/2001,1139.45,1059.78,1163.38,1054.31,-,0.0752
01/10/2001,1059.78,1040.94,1110.61,1026.76,-,0.0181
01/09/2001,1040.94,1133.58,1155.4,944.75,-,-0.0817
01/08/2001,1133.58,1211.23,1226.27,1124.87,-,-0.0641
01/07/2001,1211.23,1224.42,1239.78,1165.54,-,-0.0107
